,age,education,employment_status,fam_income,hh_income,hours_worked,labor_status,married,numfamily,personal_income,race,school_status,sex,state,wage_income,education_hs,education_college,state_nh,sex_male,school_status_attending,race_white,labor_status_working,personal_income_none,hh_income_cleaned,personal_income_cleaned,fam_income_cleaned,married_now,wage_income_cleaned
4281,1,1,0,15610,88425,999,0,6,5,99999999,100,0,2,50,9999999,0,0,0,0,0,1,0,1,88425,0,15610,0,9999999
4282,40,73,10,34007,88425,80,2,6,1,34007,100,5,1,50,34000,1,0,0,1,0,1,1,0,88425,34007,34007,0,34000
4283,21,73,32,0,88425,999,1,6,1,0,100,3,2,50,0,1,0,0,0,1,1,0,1,88425,0,0,0,0
4284,80,50,36,35569,35569,999,1,1,2,19917,100,0,1,50,0,0,0,0,1,0,1,0,0,35569,19917,35569,1,0
4285,77,73,36,35569,35569,999,1,1,2,15652,100,0,2,50,0,1,0,0,0,0,1,0,0,35569,15652,35569,1,0
4286,68,73,36,30890,30890,999,1,6,1,30890,100,0,1,50,0,1,0,0,1,0,1,0,0,30890,30890,30890,0,0
4287,31,111,10,33002,33002,43,2,6,1,33002,100,5,2,50,33000,1,1,0,0,0,1,1,0,33002,33002,33002,0,33000
4288,67,73,36,56040,56040,999,1,5,1,56040,100,0,2,50,0,1,0,0,0,0,1,0,0,56040,56040,56040,0,0
4289,65,124,10,167942,167942,40,2,1,2,150972,100,0,1,50,150002,1,1,0,1,0,1,1,0,167942,150972,167942,1,150002
4290,63,111,10,167942,167942,24,2,1,2,16970,100,0,2,50,16000,1,1,0,0,0,1,1,0,167942,16970,167942,1,16000
4291,29,73,10,12000,12000,40,2,6,1,12000,100,5,1,50,12000,1,0,0,1,0,1,1,0,12000,12000,12000,0,12000
4292,37,73,32,672,672,999,1,6,1,672,100,5,1,50,0,1,0,0,1,0,1,0,0,672,672,672,0,0
4293,61,111,10,35716,35716,41,2,4,1,35716,100,0,2,50,35000,1,1,0,0,0,1,1,0,35716,35716,35716,0,35000
4294,36,91,21,16000,16000,999,2,6,1,16000,200,5,1,50,16000,1,0,0,1,0,0,1,0,16000,16000,16000,0,16000
4295,48,73,10,102000,102000,40,2,1,6,57000,100,5,1,50,57000,1,0,0,1,0,1,1,0,102000,57000,102000,1,57000
4296,45,81,10,102000,102000,35,2,1,6,45000,100,5,2,50,45000,1,0,0,0,0,1,1,0,102000,45000,102000,1,45000
4297,15,30,34,102000,102000,999,1,6,6,0,100,0,1,50,0,0,0,0,1,0,1,0,1,102000,0,102000,0,0
4298,13,1,0,102000,102000,999,0,6,6,99999999,100,0,1,50,9999999,0,0,0,1,0,1,0,1,102000,0,102000,0,9999999
4299,9,1,0,102000,102000,999,0,6,6,99999999,100,0,1,50,9999999,0,0,0,1,0,1,0,1,102000,0,102000,0,9999999
4300,4,1,0,102000,102000,999,0,6,6,99999999,100,0,1,50,9999999,0,0,0,1,0,1,0,1,102000,0,102000,0,9999999
4301,21,81,10,7500,7500,20,2,6,1,7500,100,3,2,50,7500,1,0,0,0,1,1,1,0,7500,7500,7500,0,7500
4302,58,111,10,69244,69244,65,2,4,1,69244,100,0,1,50,70000,1,1,0,1,0,1,1,0,69244,69244,69244,0,70000
4303,37,73,10,88000,88000,40,2,1,4,88000,100,5,2,50,88000,1,0,0,0,0,1,1,0,88000,88000,88000,1,88000
4304,54,73,32,88000,88000,999,1,1,4,0,100,5,1,50,0,1,0,0,1,0,1,0,1,88000,0,88000,1,0
4305,13,1,0,88000,88000,999,0,6,4,99999999,100,0,1,50,9999999,0,0,0,1,0,1,0,1,88000,0,88000,0,9999999
